,heur,run,hmax,best_x,best_y,neval
0,SG_0,0,0,"[0.36079226162441325, 1.0, 10, 80, 10]",1.0,7.0
1,SG_0,1,0,"[0.19128210454387062, 1.0, 10, 80, 10]",0.8928571428571429,inf
2,SG_0,2,0,"[0.3121943545405519, 1.0, 10, 80, 10]",0.8928571428571429,inf
3,SG_0,3,0,"[0.9018234339531448, 1.0, 10, 80, 10]",0.712,inf
4,SG_0,4,0,"[0.3737885120833795, 1.0, 10, 80, 10]",0.8928571428571429,inf
5,SG_0,5,0,"[0.4083813849679374, 1.0, 10, 80, 10]",0.7874015748031497,inf
6,SG_0,6,0,"[0.36170427531539007, 1.0, 10, 80, 10]",0.8928571428571429,inf
7,SG_0,7,0,"[0.5272981137501302, 1.0, 10, 80, 10]",0.813953488372093,inf
8,SG_0,8,0,"[0.3379099750908874, 1.0, 10, 80, 10]",1.0,13.0
9,SG_0,9,0,"[0.17520382756149244, 1.0, 10, 80, 10]",0.77734375,inf
10,SG_0,10,0,"[0.22438166924037217, 1.0, 10, 80, 10]",1.0,17.0
11,SG_0,11,0,"[0.3755335855561217, 1.0, 10, 80, 10]",0.8928571428571429,inf
12,SG_0,12,0,"[0.2208736226321526, 1.0, 10, 80, 10]",0.8928571428571429,inf
13,SG_0,13,0,"[0.5551262925100433, 1.0, 10, 80, 10]",0.8928571428571429,inf
14,SG_0,14,0,"[0.93679378677342, 1.0, 10, 80, 10]",0.8928571428571429,inf
15,SG_0,15,0,"[0.3924366557693628, 1.0, 10, 80, 10]",1.0,11.0
16,SG_0,16,0,"[0.20527281000319553, 1.0, 10, 80, 10]",1.0,8.0
17,SG_0,17,0,"[0.5119020744815259, 1.0, 10, 80, 10]",1.0,28.0
18,SG_0,18,0,"[0.600376277058464, 1.0, 10, 80, 10]",0.8079999999999999,inf
19,SG_0,19,0,"[1.1187389833281665, 1.0, 10, 80, 10]",0.8928571428571429,inf
20,SG_0,20,0,"[0.3834007122168992, 1.0, 10, 80, 10]",1.0,18.0
21,SG_0,21,0,"[0.6203182761955919, 1.0, 10, 80, 10]",0.7874015748031497,inf
22,SG_0,22,0,"[0.28236874854503924, 1.0, 10, 80, 10]",0.8928571428571429,inf
23,SG_0,23,0,"[0.2728532575486322, 1.0, 10, 80, 10]",0.8928571428571429,inf
24,SG_0,24,0,"[0.5266662045138109, 1.0, 10, 80, 10]",0.8928571428571429,inf
25,SG_0,25,0,"[0.23141313886033865, 1.0, 10, 80, 10]",0.8928571428571429,inf
26,SG_0,26,0,"[0.49718233140125667, 1.0, 10, 80, 10]",1.0,26.0
27,SG_0,27,0,"[0.1537196496665505, 1.0, 10, 80, 10]",0.75,inf
28,SG_0,28,0,"[0.3550950911201882, 1.0, 10, 80, 10]",1.0,25.0
29,SG_0,29,0,"[0.22762800059422394, 1.0, 10, 80, 10]",0.8928571428571429,inf
